(ID),"Company Name",Type,Address,City,State,ZIP,Country,Phone,Website,"Inception Date",Jurisdiction,"SEC Number","Employees (from Statements->Employees, most recent)","Contact Name 1","Contact Title 2"
801-52559,"  Blackstone Alternative Asset Management LP     ","Funds Manager"," 345 Park Ave"," New York"," New York","  10154 "," United States","  (212) 583-5000",http://www.blackstone.com,1996-08-28,Delaware,801-52559,265,"J. Tomilson Hill","Vice Chairman of the Blackstone Group / President &amp; Chief Executive Officer of Blackstone Alternative Asset Management L.P.","Peter Koffler","General Counsel of Blackstone Alternative Asset Management Lp","Brian Gavin","Chief Operating Officer of Blackstone Alternative Asset Management L.P."
801-49682,"  TGM Associates L.P.     ","Funds Manager"," 650 Fifth Avenue, 28th Fl"," New York"," New York","  10019-6149 "," United States","  (212) 830-9300",http://www.tgmassociates.com,1995-07-17,"New York",801-49682,262,"Steven Macy","Limited Partner","John Gochberg","Limited Partner","Sarah Gochberg","Limited Partner"
801-72708,"  Acuity Capital Management, LLC     ","Funds Manager"," 60 Arch Street"," Greenwich"," Connecticut","  6830 "," United States","  (203) 769-5991",http://www.acuitycap.com,2011-09-21,Delaware,801-72708,5,"Howard Needle","Managing Member","David Harris","Managing Member","John Zhang","Chief Compliance Officer"
801-29862,"  Bear Stearns Asset Management Inc.     ","Funds Manager"," 320 Park Avenue"," New York"," New York","  10022 "," United States","  (212) 648-1999",,1987-06-18,"New York",801-29862,12,"Lawrence Unrein","Director, Chairman of the Board, Chief Executive Officer, President","Roger Baumann","Director/Managing Director","Scott Richter","Secretary/Managing Director"
801-74223,"  Alcentra Limited     ","Funds Manager"," 10 Gresham Street"," London","  EC2V 7JD ",," United Kingdom","  02073675000",http://www.bnymellon.com,2012-03-30,"United Kingdom",801-74223,75,"David Forbes-Nixon","Board Member and Chief Executive Officer","Robert Bennett","Board Member and Chief Financial Officer","James Algar","Board Member and Chief Compliance Officer"
801-69700,"  Barclays Capital Inc.     ","Funds Manager"," 200 Park Avenue"," New York"," New York","  10166-0005 "," United States","  (212) 526-7000",https://www.barclays.com,2008-09-22,Connecticut,801-69700,765,"Gerard Larocca","Board Director","Laurence Kantor","Head of Research","Alastair Blackwell","Chief Operations Officer"
801-5995,"  Virtus Investment Advisers, Inc.     ","Funds Manager"," 100 Pearl Street"," Hartford"," Connecticut","  6103 "," United States","  (800) 248-7971",https://www.virtus.com/,1969-09-17,Massachusetts,801-5995,0,"George Aylward","Director, President and Chairman","Kevin Carr","Senior Vice President and Clerk","Michael Angerthal","Director, Executive Vice President and Chief Financial Officer"
801-40494,"  Nnip Advisors B.V.     ","Funds Manager"," Schenkkade 65"," The Hague","  2595AS ",," Netherlands","  31703781835",https://www.nnip.com,1992-02-07,Netherlands,801-40494,880,"Dirk Buggenhout","Director &amp; Chief Operating Officer","Hieu Giang","Chief Compliance Officer","Marten Nijkamp","Director &amp; Head of Business Strategy"
801-70009,"  NB Alternatives Advisers LLC     ","Funds Manager"," 325 North Saint Paul Street"," Dallas"," Texas","  75201 "," United States","  (214) 647-9500",http://www.nb.com,2009-03-31,Delaware,801-70009,97,"Anthony Tutrone","Chief Executive Officer","John Buser",President,"Michael Rees","Managing Director and Chief Operating Officer"
801-64470,"  Archstone Management Company, LLC     ","Funds Manager"," 360 Madison Avenue"," New York"," New York","  10017 "," United States","  (212) 201-0500",https://www.archstonepartners.com,2005-06-28,"New York",801-64470,18,"Alfred Shuman","Principal/Chief Executive Officer/Member","Stephanie Shuman",Member,"Joseph Pignatelli",President/Member
801-69975,"  Motley Fool Asset Management, LLC     ","Funds Manager"," 2000 Duke Street"," Alexandria"," Virginia","  22314-6101 "," United States","  (703) 302-1100",http://www.foolfunds.com,2009-03-23,Delaware,801-69975,14,"Lawrence Greenberg","Chief Legal Officer","Peter Jacobstein","Chairman, President, and Manager","Salvatore Faia","Chief Compliance Officer"
801-87179,"  Oberland Capital Management LLC     ","Funds Manager"," 1700 Broadway"," New York"," New York","  10019 "," United States","  (212) 257-5850",http://www.oberlandcapital.com,2015-04-06,Delaware,801-87179,7,"Andrew Rubinstein","Managing Partner","Jean-Pierre Naegeli","Managing Partner","David Dubinsky",Cco
801-76797,"  Adelphi Capital LLP     ","Funds Manager"," 2 George Yard"," London","  EC3V 9DH ",," United Kingdom","  442070703100",https://www.adelphi-europe.com,2012-06-13,"United Kingdom",801-76797,21,"Marcel Jongen","Chief Executive / Limited Partner","Roderick Jack","Chief Executive / Limited Partner","Nicholas Tyler","Chief Compliance Officer / Limited Partner"
801-61515,"  Ivy Investment Management Company     ","Funds Manager"," 6300 Lamar Avenue"," Overland Park"," Kansas","  66202 "," United States","  (913) 236-2000",http://www.ivyfunds.com,2002-10-10,Delaware,801-61515,159,"Henry Herrmann","President, Director, Chairman of the Board &amp; Chief Executive Officer","Thomas Butch","Director, Senior Vice President &amp; Chief Marketing Officer","John Sundeen","Executive Vice President, Chief Administrative Officer &amp; Director"
801-66274,"  Deutsche Alternative Asset Management (Global) Limited     ","Funds Manager"," Winchester House"," London","  EC2N 2DB ",," United Kingdom","  442075458000",https://deutscheawm.com/,2006-03-02,"United Kingdom",801-66274,42,"Stephen Shaw",Coo,"Isobel Swanson",Cco,"James Calvert","Chief Financial Officer"
801-29688,"  Calamos Advisors LLC     ","Funds Manager"," 2020 Calamos Court"," Naperville"," Illinois","  60563-2787 "," United States","  (630) 245-7200",http://www.calamos.com,1987-05-29,Delaware,801-29688,246,"John Calamos","Chairman, Ceo and Global Co-Cio","J. Jackson","Svp, General Counsel and Secretary","Nimish Bhatt","Svp, Chief Financial Officer"
801-78705,"  GCM Customized Fund Investment Group, L.P.     ","Funds Manager"," 767 Fifth Avenue"," New York"," New York","  10153 "," United States","  (646) 362-3700",http://www.gcmlp.com/,2013-10-22,Delaware,801-78705,118,"Michael Sacks","Managing Director, Chief Executive Officer and Chairman","Paul Meister","Managing Director and Vice Chairman","Joseph Nesler","Managing Director, Global Chief Compliance Officer"
801-57126,"  Meristem, LLP     ","Funds Manager"," 601 Carlson Parkway"," Minnetonka"," Minnesota","  55305 "," United States","  (952) 835-2577",http://www.meristemmfo.com,2000-02-25,Minnesota,801-57126,40,"Charles Maxwell","Ceo, Partner","Jocelyn Henkensiefken","Cfo, Cco &amp; Partner","Patrick Regan","Cio, Partner"
801-74000,"  Verition Fund Management LLC     ","Funds Manager"," One American Lane"," Greenwich"," Connecticut","  06831-9998 "," United States","  (203) 742-7700",http://www.verition.com/,2012-03-30,Delaware,801-74000,40,"Josh Goldstein","Chief Operating Officer, Chief Compliance Officer, President","Ted Hagan","Chief Financial Officer","Nicholas Maounis",Member
801-72720,"  Greenfield Partners, LLC     ","Funds Manager"," 2 Post Road West"," Westport"," Connecticut","  6880 "," United States","  (203) 354-5000",http://www.greenfieldpartners.com,2011-10-11,Connecticut,801-72720,42,"Eugene Gorab","Chief Executive Officer and Class B Member","Paul Altieri","Chief Financial Officer","Dean Sotter","Chief Operating Officer"
801-52638,"  Symphony Asset Management LLC     ","Funds Manager"," 555 California Street"," San Francisco"," California","  94104-1534 "," United States","  (415) 676-4000",http://www.symphonyasset.com,1996-08-07,California,801-52638,84,"Gunther Stein","Chief Investment Officer and Chief Executive Officer","David Goldstein","Chief Operating Officer","Angela McKillen","Chief Financial Officer"
801-79720,"  Michaelson Capital Special Finance, LLC     ","Funds Manager"," 400 Madison Avenue"," New York"," New York","  10017-6995 "," United States","  (212) 433-1360",http://www.michaelsoncapital.com,2014-05-09,Delaware,801-79720,4,"John Michaelson","Chief Executive Officer","Vincent Capone","Chief Compliance Officer, Chief Operating Officer, General Counsel",,
Delaware,"  J.P. Morgan Securities LLC     ","Funds Manager"," 277 Park Avenue"," New York"," New York","  10172 "," United States","  (800) 999-2000",https://www.jpmorgan.com,1965-04-03,1362244,Delaware,6100,"Carlos Hernandez","Co Ceo &amp; Co-Chairman","James Collins","Chief Financial Officer","Gregory Quental",Director
801-37235,"  Fort Washington Investment Advisors Inc     ","Funds Manager"," 303 Broadway"," Cincinnati"," Ohio","  45202 "," United States","  (513) 361-7600",http://www.fortwashington.com/,1990-09-14,Ohio,801-37235,122,"Donald Wuebbling",Director,"Michele Hawkins","Chief Compliance Officer, Managing Director","John Barrett",Director
801-41495,"  MIO Partners, Inc.     ","Funds Manager"," 245 Park Avenue, 13th Floor"," New York"," New York","  10167 "," United States","  (212) 203-4000",https://www.miopartners.com,1992-06-10,Delaware,801-41495,144,"Timothy Church",President,"Todd Tibbetts","Vice President -- Investments &amp; Chief Investment Officer","Virginia Molino","Assistant Secretary"
801-71151,"  Weiss Multi-Strategy Advisers LLC     ","Funds Manager"," 320 Park Avenue"," New York"," New York","  10022 "," United States","  (212) 415-4500",https://www.gweiss.com,2010-03-16,Delaware,801-71151,109,"George Weiss","Manager, Chief Executive Officer, Executive Committee Member","Frederick Doucette","Manager, Chief Operating Officer, Executive Committee Member","Scott Sartorius","Executive Committee Member, Senior Vice President"
801-78900,"  Turnbridge Capital, LLC     ","Funds Manager"," 100 Crescent Court"," Dallas"," Texas","  75201 "," United States","  (214) 624-5010",http://www.turnbridgecapital.com/,2014-01-02,Texas,801-78900,11,"J. Sweezey","Chief Compliance Officer, Partner","David Graham",Partner,,
801-80018,"  Boothbay Fund Management, LLC     ","Funds Manager"," 810 7th Ave"," New York"," New York","  10019-5818 "," United States","  (212) 332-2676",http://www.bbaymgmt.com,2014-07-02,Delaware,801-80018,7,"Ari Glass","Managing Member of Registrant","Daniel Bloom","Chief Financial Officer and Chief Compliance Officer",,
801-85190,"  Clayton Partners LLC     ","Funds Manager"," 575 Market Street"," San Francisco"," California","  94105 "," United States","  (415) 296-5070",http://www.claytonpartners.com,2015-04-08,Delaware,801-85190,4,"Jason Stankowski",Manager/Member,"Gregory Johnson","Manager/Member/Chief Compliance Officer","Brian Lancaster",Manager/Member
801-60159,"  Ramius Alternative Solutions LLC     ","Funds Manager"," 830 Third Avenue"," New York"," New York","  10022 "," United States","  (212) 845-7900",http://www.ramiusmutualfunds.com,2001-05-11,Delaware,801-60159,28,"Stephen Lasota","Chief Financial Officer","Andrea Sayago","Chief Compliance Officer","Michael Benwitt","General Counsel"
801-56189,"  Earnest Partners LLC     ","Funds Manager"," 1180 Peachtree Street, NE"," Atlanta"," Georgia","  30309 "," United States","  (404) 815-8772",http://www.earnestpartners.com,1999-01-12,Delaware,801-56189,46,"Paul Viera",Ceo/Manager,"James Wilson","Chief Compliance Officer","John Whitmore","Chief Operating Officer"
801-34933,"  Kornitzer Capital Management, Inc.     ","Funds Manager"," 5420 West 61st Place"," Shawnee Mission"," Kansas","  66205-3084 "," United States","  (913) 677-7778",http://www.kornitzercapitalmanagement.com,1989-08-04,Kansas,801-34933,42,"John Kornitzer","President, Stockholder","Kent Gasaway","Portfolio Manager, Stockholder","Willard Lynch",Stockholder
801-80396,"  SL Advisors, LLC     ","Funds Manager"," 210 Elmer Street"," Westfield"," New Jersey","  07090-2128 "," United States","  (908) 232-0830",http://www.sl-advisors.com/,2014-10-08,"New Jersey",801-80396,5,"Simon Lack","Managing Member","Henry Hoffman",Partner,"Douglas Kamin","Chief Compliance Officer"
801-73632,"  Brockway Moran &amp; Partners, Inc.     ","Funds Manager"," 225 NE Mizner Boulevard"," Boca Raton"," Florida","  33432 "," United States","  (561) 750-2000",http://www.brockwaymoran.com,2012-03-29,Florida,801-73632,10,"Peter Brockway","Managing Partner of Brockway Moran &amp; Partners, Inc.","Michael Moran","Managing Partner of Brockway Moran &amp; Partners, Inc.","Peter Klein","Partner, General Counsel and Chief Compliance Officer"
801-77122,"  RCG Longview Management, LLC     ","Funds Manager"," 7 Penn Plaza"," New York"," New York","  10001-0019 "," United States","  (212) 356-9200",https://www.rcglongview.com,2012-09-26,Delaware,801-77122,25,"Dean Ravosa","Managing Director","Christopher McCarthy","Chief Financial Officer","Andrea Sayago","Chief Compliance Officer"
801-38319,"  J.P. Morgan Alternative Asset Management, Inc.     ","Funds Manager"," 270 Park Avenue"," New York"," New York","  10017 "," United States","  (212) 648-2631",,1991-02-22,Delaware,801-38319,83,"Lisa Vicital","Chief Operating Officer/Chief Administrative Officer/Director","Thomas Divuolo","Chief Financial Officer/Managing Director","Leonard Wallace","Chief Compliance Officer/Vice President"
801-34300,"  Angelo, Gordon &amp; Co., L.P.     ","Funds Manager"," 245 Park Avenue"," New York"," New York","  10167 "," United States","  (212) 692-2000",http://www.angelogordon.com,1989-05-26,Delaware,801-34300,279,"John Angelo","Chief Executive Officer","Michael Gordon","Chief Investment Officer","Kirk Wickman","Chief Administrative Officer"
801-73662,"  Falcon E &amp; P Opportunities GP, LLC     ","Funds Manager"," 2602 Mckinney Avenue"," Dallas"," Texas","  75204 "," United States","  (214) 871-7967",,2012-03-30,Delaware,801-73662,13,"Thomas Surgent",Cco,"William Britain",Member,"Douglas Evans",Member
801-80977,"  Defender Capital LLC     ","Funds Manager"," 1310 South Tryon Street,"," Charlotte"," North Carolina","  28203 "," United States","  (704) 373-1716",http://www.defendercapital.us,2015-03-13,"North Carolina",801-80977,4,"John Stamas","President, Treasurer, Managing Member and Cco","Don Stamas","Vice President, Managing Member and Secretary",,
801-64469,"  A.P. Management Company, LLC     ","Funds Manager"," 360 Madison Avenue"," New York"," New York","  10017 "," United States","  (212) 201-0500",https://www.archstonepartners.com,2005-06-28,"New York",801-64469,18,"Alfred Shuman","Principal/Chief Executive Officer/Member","Stephanie Shuman",Member,"Joseph Pignatelli",President/Member
801-78220,"  Garrison Loan Management LLC     ","Funds Manager"," 1290 Avenue Of The Americas"," New York"," New York","  10104 "," United States","  (212) 372-9500",,2013-07-03,Delaware,801-78220,80,"Brian Chase","Chief Executive Officer and Chief Compliance Officer",,,,
801-54965,"  Grosvenor Capital Management, L.P.     ","Funds Manager"," 900 North Michigan Avenue, Suite 1100"," Chicago"," Illinois","  60611-6558 "," United States","  (312) 506-6500",http://www.gcmlp.com,1997-10-17,Illinois,801-54965,272,"Michael Sacks","Managing Director, Chief Executive Officer and Chairman","Paul Meister","Managing Director and Vice Chairman","Joseph Nesler","Managing Director, General Counsel and Global Chief Compliance Officer"
801-9168,"  Contravisory Investment Management, Inc.     ","Funds Manager"," 120 Longwater Drive"," Norwell"," Massachusetts","  2061 "," United States","  (781) 740-1786",http://contravisory.com,1973-03-25,Massachusetts,801-9168,7,"William Noonan",President/Ceo,"Philip Noonan","Chief Operating Officer","Matt Sullivan","Chief Compliance Officer"
801-15563,"  Crawford Investment Counsel Inc     ","Funds Manager"," 600 Galleria Parkway, NW"," Atlanta"," Georgia","  30339 "," United States","  (770) 859-0045",http://www.crawfordinvestment.com/,1980-10-15,Georgia,801-15563,41,"John Crawford","Founder, Chief Investment Officer","David Crawford","President, Portfolio Manager/Analyst","Lisa Najdowski","Chief Compliance Officer"
801-47516,"  Columbus Circle Investors     ","Funds Manager"," Metro Center"," Stamford"," Connecticut","  6902 "," United States","  (203) 353-6000",http://www.columbuscircle.com,1994-10-06,Delaware,801-47516,64,"Anthony Rizza","Senior Managing Director","Clifford Fox","Senior Managing Director","Frank Cuttita","Senior Managing Director, Chief Administrative Officer"
801-61109,"  Arnerich Massena, Inc.     ","Funds Manager"," 2045 NE Martin Luther King Jr Blvd"," Portland"," Oregon","  97212 "," United States","  (503) 239-0475",http://www.arnerichmassena.com,2002-04-29,Oregon,801-61109,50,"Anthony Arnerich","Director, Ceo, President, Cio","Stuart Lang","Vice President of Finance, Director","Christine Arnerich","Shareholder, Director"
801-80863,"  White Bison Capital, LLC     ","Funds Manager"," 1711 Pearl St."," Boulder"," Colorado","  80302-5577 "," United States","  (720) 420-4600",http://whitebisoncapital.com,2015-01-22,Colorado,801-80863,4,"Jason Dunn","Managing Member","Benjamin Bortner",Member,"John Marr","Chief Compliance Officer/Member"
801-73616,"  Hildene Capital Management, LLC     ","Funds Manager"," 700 Canal Street"," Stamford"," Connecticut","  6902 "," United States","  (203) 517-2500",http://www.hildenecap.com/,2012-03-30,Delaware,801-73616,15,"Brett Jefferson","President and Chief Investment Officer of Hildene Capital Management, Llc","John Scannell","Chief Operating Officer and General Counsel of Hildene Capital Management, Llc","David Hoffman","Chief Compliance Officer of Hildene Capital Management, Llc"
801-35519,"  Lombardia Capital Partners, LLC     ","Funds Manager"," 55 South Lake Ave, Suite 200"," Pasadena"," California","  91101-2676 "," United States","  (626) 568-2792",http://www.lombardiacapital.com,1989-12-15,Delaware,801-35519,27,"Leslie Waite",Partner,"Fernando Inzunza",Partner,"Alvin Marley","Chief Executive Officer"
801-73615,"  Telemark Asset Management, LLC     ","Funds Manager"," One International Place"," Boston"," Massachusetts","  2110 "," United States","  (617) 526-8912",,2012-03-29,Delaware,801-73615,2,"Colin McNay",President,"Miley Brian","Chief Compliance Officer and Chief Financial Officer",,
801-80627,"  Autumn Lane Advisors, LLC     ","Funds Manager"," 7500 San Felipe"," Houston"," Texas","  77063 "," United States","  (713) 636-2075",,2014-12-03,Texas,801-80627,1,"David Andrew","Manager, Chief Compliance Officer",,,,
801-62442,"  Breen Investors LP     ","Funds Manager"," 2001 Kirby Drive"," Houston"," Texas","  77019 "," United States","  (713) 223-9300",,2003-10-23,Delaware,801-62442,5,"Daniel Breen",Chairman,"Richard Cull","Limited Partner / Analyst / Portfolio Manager","Michael Breen","Limited Partner / Analyst / Portfolio Manager"
801-72883,"  Cifc Asset Management LLC     ","Funds Manager"," 250 Park Avenue"," New York"," New York","  10177 "," United States","  (212) 624-1200",http://www.cifc.com,2011-12-01,Delaware,801-72883,71,"Robert Milton","General  Counsel and Chief Compliance Officer","Rahul Agarwal","Chief Financial Officer","Steve Vaccaro","Co-President and Chief Investment Officer"
801-48923,"  Oaktree Capital Management, L.P.     ","Funds Manager"," 333 South Grand Ave."," Los Angeles"," California","  90071 "," United States","  (213) 830-6300",http://www.oaktreecapital.com,1995-04-07,Delaware,801-48923,748,"Howard Marks","Co-Chairman, Principal","Bruce Karsh","Co-Chairman, Principal, Chief Investments Officer","Sheldon Stone",Principal
801-71967,"  Empirical Asset Management, LLC     ","Funds Manager"," Two Newton Executive Park"," Newton"," Massachusetts","  2462 "," United States","  (781) 431-2220",http://www.empiricalam.com,2010-11-23,Delaware,801-71967,4,"William Davis","Senior Partner","Mark Fiskio","Managing Partner and Cco",,
801-30582,"  Navellier &amp; Associates Inc     ","Funds Manager"," One E. Liberty, Suite 504"," Reno"," Nevada","  89501-2107 "," United States","  (775) 785-2300",http://www.navellier.com,1987-10-30,Nevada,801-30582,41,"Louis Navellier",Ceo,"Arjen Kuyper","Chief Compliance Officer, President, Chief Operating Officer","David MacHen","Chief Financial Officer"
801-65065,"  Ridgefield Capital Asset Management, LP     ","Funds Manager"," 38C Grove Street"," Ridgefield"," Connecticut","  06877-4669 "," United States","  (203) 431-7160",,2006-01-05,Delaware,801-65065,8,"Robert Ellis","Managing Partner","James Giordano","Partner/Chief Financial Officer","Thomas Trillo","Chief Operating Officer"
801-67496,"  Grosvenor Fund Management Inc.     ","Funds Manager"," Two Commerce Square"," Philadelphia"," Pennsylvania","  19103 "," United States","  (215) 575-3700",http://www.grosvenor.com,2007-07-05,Pennsylvania,801-67496,11,"Alexia Gottschalch","Managing Director","Bruce Ambler","Chief Executive Officer/Chief Operating Officer","James Raynor",Chairman
801-77659,"  Triumph Alternatives LLC     ","Funds Manager"," 141 W Jackson Blvd."," Chicago"," Illinois","  60604 "," United States","  (312) 961-6830",http://www.futexfund.com,2013-03-26,Delaware,801-77659,4,"Peter Zeman",Member,"Christina Rowinski",Member,"Robert Johnson","Chief Investment Officer"
(ID),"Company Name",Type,Address,City,State,ZIP,Country,Phone,Website,"Inception Date",Jurisdiction,"SEC Number","Employees (from Statements->Employees, most recent)","Contact Name 1","Contact Title 2"
801-80642,"  Spouting Rock Wealth Advisors, LLC     ","Funds Manager"," 5 Radnor Corporate Center"," Radnor"," Pennsylvania","  19087 "," United States","  (610) 788-2128",http://www.spoutingrock.us,2014-12-05,Delaware,801-80642,7,"Blakely Page","Managing Member","Erich Hickey",President,"Jeremy Tennenbaum",Chairman
(ID),"Company Name",Type,Address,City,State,ZIP,Country,Phone,Website,"Inception Date",Jurisdiction,"SEC Number","Employees (from Statements->Employees, most recent)","Contact Name 1","Contact Title 2"
801-81041,"  Waycross Partners, LLC     ","Funds Manager"," 401 W. Main St, Suite 2100"," Louisville"," Kentucky","  40202 "," United States","  (502) 410-1900",http://www.waycrosspartners.com,2015-03-03,Kentucky,801-81041,7,"Larry Walker","Member, Chief Compliance Officer","Matthew Bevin",Member,"John Ferreby",Member
801-61029,"  Guggenheim Real Estate LLC     ","Funds Manager"," 500 Boylston Street"," Boston"," Massachusetts","  2116 "," United States","  (617) 859-4600",http://www.guggenheimpartners.com,2002-03-29,Delaware,801-61029,22,"Michael Fera","Chief Financial Officer","Theresa Apruzzese","Chief Compliance Officer",,
801-78202,"  Localshares, Inc. - Legal Name; Localshares - Business Name     ","Funds Manager"," 618 Church Street"," Nashville"," Tennessee","  37219 "," United States","  (615) 327-4776",http://www.localshares.com,2013-06-14,Delaware,801-78202,2,"Elizabeth Courtney","Elected Manager (Ceo)","Carter Todd","Elected Manager (Cco)",,
(ID),"Company Name",Type,Address,City,State,ZIP,Country,Phone,Website,"Inception Date",Jurisdiction,"SEC Number","Employees (from Statements->Employees, most recent)","Contact Name 1","Contact Title 2"
801-81041,"  Waycross Partners, LLC     ","Funds Manager"," 401 W. Main St, Suite 2100"," Louisville"," Kentucky","  40202 "," United States","  (502) 410-1900",http://www.waycrosspartners.com,2015-03-03,Kentucky,801-81041,7,"Larry Walker","Member, Chief Compliance Officer","Matthew Bevin",Member,"John Ferreby",Member
801-61029,"  Guggenheim Real Estate LLC     ","Funds Manager"," 500 Boylston Street"," Boston"," Massachusetts","  2116 "," United States","  (617) 859-4600",http://www.guggenheimpartners.com,2002-03-29,Delaware,801-61029,22,"Michael Fera","Chief Financial Officer","Theresa Apruzzese","Chief Compliance Officer",,
801-78202,"  Localshares, Inc. - Legal Name; Localshares - Business Name     ","Funds Manager"," 618 Church Street"," Nashville"," Tennessee","  37219 "," United States","  (615) 327-4776",http://www.localshares.com,2013-06-14,Delaware,801-78202,2,"Elizabeth Courtney","Elected Manager (Ceo)","Carter Todd","Elected Manager (Cco)",,
(ID),"Company Name",Type,Address,City,State,ZIP,Country,Phone,Website,"Inception Date",Jurisdiction,"SEC Number","Employees (from Statements->Employees, most recent)","Contact Name 1","Contact Title 2"
801-81041,"  Waycross Partners, LLC     ","Funds Manager"," 401 W. Main St, Suite 2100"," Louisville"," Kentucky","  40202 "," United States","  (502) 410-1900",http://www.waycrosspartners.com,2015-03-03,Kentucky,801-81041,7,"Larry Walker","Member, Chief Compliance Officer","Matthew Bevin",Member,"John Ferreby",Member
801-61029,"  Guggenheim Real Estate LLC     ","Funds Manager"," 500 Boylston Street"," Boston"," Massachusetts","  2116 "," United States","  (617) 859-4600",http://www.guggenheimpartners.com,2002-03-29,Delaware,801-61029,22,"Michael Fera","Chief Financial Officer","Theresa Apruzzese","Chief Compliance Officer",,
801-78202,"  Localshares, Inc. - Legal Name; Localshares - Business Name     ","Funds Manager"," 618 Church Street"," Nashville"," Tennessee","  37219 "," United States","  (615) 327-4776",http://www.localshares.com,2013-06-14,Delaware,801-78202,2,"Elizabeth Courtney","Elected Manager (Ceo)","Carter Todd","Elected Manager (Cco)",,
(ID),"Company Name",Type,Address,City,State,ZIP,Country,Phone,Website,"Inception Date",Jurisdiction,"SEC Number","Employees (from Statements->Employees, most recent)","Contact Name 1","Contact Title 2"
801-81041,"  Waycross Partners, LLC     ","Funds Manager"," 401 W. Main St, Suite 2100"," Louisville"," Kentucky","  40202 "," United States","  (502) 410-1900",http://www.waycrosspartners.com,2015-03-03,Kentucky,801-81041,7,"Larry Walker","Member, Chief Compliance Officer","Matthew Bevin",Member,"John Ferreby",Member
801-61029,"  Guggenheim Real Estate LLC     ","Funds Manager"," 500 Boylston Street"," Boston"," Massachusetts","  2116 "," United States","  (617) 859-4600",http://www.guggenheimpartners.com,2002-03-29,Delaware,801-61029,22,"Michael Fera","Chief Financial Officer","Theresa Apruzzese","Chief Compliance Officer",,
801-78202,"  Localshares, Inc. - Legal Name; Localshares - Business Name     ","Funds Manager"," 618 Church Street"," Nashville"," Tennessee","  37219 "," United States","  (615) 327-4776",http://www.localshares.com,2013-06-14,Delaware,801-78202,2,"Elizabeth Courtney","Elected Manager (Ceo)","Carter Todd","Elected Manager (Cco)",,
,"  AQM Capital LLC     ","Funds Manager"," 375 Park Avenue"," New York"," New York","  10152 "," United States","  (212) 763-0070",http://www.aquamarinecapital.com,,,,2,,,,,,
,"  Franklin Park Associates, LLC     ","Funds Manager"," Three Bala Plaza"," Bala Cynwyd"," Pennsylvania","  19004 "," United States","  (610) 822-0500",http://www.franklinparkllc.com,,,,24,,,,,,
801-73480,"  Rho Capital Partners, Inc     ","Funds Manager"," 152 W. 57th Street, 23rd Floor"," New York"," New York","  10019-3310 "," United States","  (212) 751-6677",http://www.rho.com,2012-03-30,"New York",801-73480,22,"Joshua Ruch","Ceo, Managing Partner, Director, Shareholder","Habib Kairouz","Managing Partner, Director, Shareholder","Mark Leschly","Managing Partner, Director, Shareholder"
801-72406,"  Value Partners Hong Kong Limited     ","Funds Manager"," 9th Floor, Nexxus Building"," Hong Kong","   Hong Kong",," Phone: 85228809263",,http://www.valuepartners.com.hk,2011-08-09,"Hong Kong",801-72406,157,"Cheng Cheah","Director and Co-Chief Investment Officer","Man Ho","Director and Investment Director","Wimmie Cheung","Head of Legal"
801-66149,"  Corsair Capital LLC     ","Funds Manager"," 717 Fifth Avenue"," New York"," New York","  10022 "," United States","  (212) 224-9400",http://www.corsair-capital.com,2006-02-08,Delaware,801-66149,40,"Nicholas Paumgarten",Founder,"D.T. Ignacio Jayanti","Managing Partner","Amy Knapp","Chief Operating Officer / Chief Financial Officer"
801-67969,"  CFS, LLC     ","Funds Manager"," 210 Park Avenue"," Oklahoma City"," Oklahoma","  73102 "," United States","  (405) 848-6999",http://www.covenantinvestors.com,2007-06-07,Oklahoma,801-67969,4,"Stephen Shafer","Member/Manager/Chief Investment Officer/Chief Compliance Officer","Jonathan Kuhlman","Chief Operating Officer",,
801-80213,"  OBP Capital LLC     ","Funds Manager"," 116 South Franklin Street"," Rocky Mount"," North Carolina","  27802 "," United States","  (252) 972-9922",http://www.ncfunds.com,2014-09-12,"North Carolina",801-80213,4,"Katherine Honey",Member,"John Canning","Chief Compliance Officer",,
801-56264,"  Credit Suisse Securities (USA) LLC     ","Funds Manager"," 11 Madison Avenue"," New York"," New York","  10010 "," United States","  (212) 325-2000",http://www.credit-suisse.com,1999-03-12,Delaware,801-56264,9443,"Donald Radey","General Counsel","Louise Guarneri","Chief Compliance Officer (Cco) for Broker-Dealer","Lewis Wirshba","Board Member &amp; Chief Operating Officer"
801-78674,"  Goodwood Advisors, LLC     ","Funds Manager"," 450 Laurel Street"," Baton Rouge"," Louisiana","  70801 "," United States","  (225) 706-1599",,2013-10-17,Louisiana,801-78674,5,"Ryan Thibodeaux","Chief Compliance Officer","Paul McCown",Member,,
801-69212,"  Nomura Global Alpha LLC     ","Funds Manager"," World Wide Plaza"," New York"," New York","  10019-7316 "," United States","  (212) 667-1414",,2008-06-11,Delaware,801-69212,9,"Neil Daniele","Chief Compliance Officer, Corporate Secretary","Shalabh Garg","Chief Investment Officer","Hiromichi Aoki","Chief Administrative Officer"
801-74071,"  MSD Partners, L.P.     ","Funds Manager"," 645 Fifth Avenue, 21st Floor"," New York"," New York","  10022 "," United States","  (212) 303-1650",http://www.msdpartners.com,2012-03-30,Delaware,801-74071,58,"Howard Berk","Partner (Msdc Management, l.p.)","Glenn Fuhrman","Partner (Msdc Management, l.p.)","Andrew Hee","Partner (Msdc Management, l.p.)"
