'(ID)','Company Name','Type','Address','City','State','ZIP','Country','Phone','Website','Inception Date','Jurisdiction','SEC Number','Employees (from Statements->Employees," most recent)'	",'Contact Name 1',Contact Title 1',Contact Name 2',Contact Title 2',Contact Name 3',Contact Title 3'
801-79655,"  Pineview Asset Management, LP     ",Funds Manager, Greenwich Financial Center, Greenwich, Connecticut,6830, United States,  (203) 489-1400,#,7/31/14,3/30/15,Delaware,801-79655,5,Larry Petrella,Limited Partner/Chief Executive Officer,Michael Siminerio,Limited Partner/President,Christopher Conneely,Chief Financial Officer/Chief Compliance Officer
801-80392,"  Pineapple Capital Management, LLC     ",Funds Manager, One Montgomery Street, San Francisco, California,94104, United States,  (415) 392-0422,#,10/6/14,3/30/15,Delaware,801-80392,4,Donald Kennedy,Managing Member,Lily Sjamsudin,"Chief Compliance Officer, Operations Manager",,
801-80094,"  Leadsman Capital, LLC     ",Funds Manager, 1185 Avenue Of The Americas, New York, New York,10036, United States,  (212) 888-6565,#,7/30/14,3/30/15,New York,801-80094,4,Andrew Roth,Member and Chief Compliance Officer,Gary Friedle,Member,Albert Sipzener,Member
801-74085,  Corvex Management LP     ,Funds Manager, 712 Fifth Ave., New York, New York,10019, United States,  (212) 474-6700,#,3/30/12,3/30/15,Delaware,801-74085,23,Keith Meister,Managing Partner,Michael Doniger,Special Limited Partner,Nicholas Graziano,Senior Managing Director
801-78018,  Elm Partners Management LLC     ,Funds Manager,,,,,,,#,5/14/13,3/30/15,Wyoming,801-78018,4,Victor Haghani,Managing Member and Chief Compliance Officer,,,,
801-73309,  Wcas Management Corporation     ,Funds Manager," 320 Park Avenue, Suite 2500", New York, New York,  10022-6815 , United States,  (212) 893-9500,http://www.welshcarson.com,3/21/12,3/30/15,Delaware,801-73309,80,Anthony Denicola,Co-President,Paul Queally,Co-President,Sanjay Swani,Vice President
801-60306,"  Lazard Alternatives, LLC     ",Funds Manager, 30 Rockefeller Plaza, New York, New York,10112, United States,  (212) 632-6000,#,6/12/01,3/30/15,Delaware,801-60306,8,Christian Frei,Director,Chris Heasman,Director,Christopher Boyatt,Director
801-73171,"  Eton Park Capital Management, L.P.     ",Funds Manager, 399 Park Avenue, New York, New York,  10022-4895 , United States,  (212) 756-5300,http://www.etonpark.com/,2/27/12,3/30/15,Delaware,801-73171,114,Eric Mindich,Chief Executive Officer,Marcy Engel,Chief Operating Officer and General Counsel,Andrew Craven,Chief Compliance Officer
801-65281,"  Ortelius Capital Partners, LLC     ",Funds Manager," 450 Park Avenue,", New York, New York,10022, United States,  (917) 595-5010,http://www.orteliuscapital.com,2/21/06,3/30/15,Delaware,801-65281,5,Peter Desorcy,Managing Member/Chief Compliance Officer,Hrh Pavlos of Greece,Managing Member,,
801-37165,  Pecks Management Partners Ltd     ,Funds Manager, 1270 Avenue Of The Americas, New York, New York,10020, United States,  (212) 332-1333,http://www.pecks.com,8/1/90,3/30/15,New York,801-37165,2,Robert Cresci,President,Theodora Harrison-Garcia,Chief Compliance Officer,,
801-74131,  Palestra Capital Management LLC     ,Funds Manager, 1330 Avenue Of The Americas, New York, New York,10019, United States,  (212) 291-7480,#,3/30/12,3/30/15,Delaware,801-74131,13,Andrew Immerman,Managing Partner,Jeremy Schiffman,Manging Partner,John Rogers,Chief Financial Officer/Chief Compliance Officer
801-79314,  Marlowe Partners LP     ,Funds Manager, 660 Madison Avenue, New York, New York,10065, United States,  (212) 409-1100,#,3/31/14,3/30/15,Delaware,801-79314,8,Eric Udoff,Principal,David Steinberg,Principal,William Vernon,Chief Compliance Officer and Chief Operating Officer
801-73835,"  Ed Capital Management, LLC     ",Funds Manager, 825 Third Avenue, New York, New York,10022, United States,  (212) 520-8277,http://www.daniloffcapital.com,3/19/12,3/30/15,Delaware,801-73835,5,Elliot Daniloff,Managing Member of Filing Adviser and of Relying Adviser and Chief Compliance Officer,Ilya Kravets,Director of Filing Adviser and of Relying Adviser,Gennady Zalko,Managing Director of Filing Adviser and of Relying Adviser
801-72899,  Sprott Asset Management LP     ,Funds Manager," Royal Bank Plaza, South Tower", Toronto, Ontario,  M5J2J1 , Canada,  (416) 362-7172,http://www.sprott.com/,1/5/12,3/30/15,Canada,801-72899,26,Kirstin McTaggart,Chief Compliance Officer; Director,James Fox,Presidenct; Director,Steven Rostowsky,Chief Financial Officer; Director
801-54335,"  FSI Group, LLC     ",Funds Manager, 441 Vine Street, Cincinnati, Ohio,45202, United States,  (513) 746-2200,http://www.fsig.com/,4/22/97,3/30/15,Delaware,801-54335,19,Steven Stein,"Member, Elected Manager, Chairman &amp; Ceo",John Stein,"Member, Elected Manager, President &amp; Chief Operating Officer",Charles Croog,General Counsel &amp; Chief Compliance Officer
,  Forest Investment Associates L.P.     ,Funds Manager, 15 Piedmont Center, Atlanta, Georgia,  30305-1509 , United States,  (404) 261-9575,http://www.forestinvest.com,,,,,55,,,,,,
801-58039,"  MKP Capital Management, L.L.C.     ",Funds Manager, 600 Lexington Avenue, New York, New York,10022, United States,  (212) 303-7100,https://www.mkpcap.com,10/23/00,3/30/15,Delaware,801-58039,104,Patrick McMahon,"Chief Executive Officer, Chief Investment Officer",Thomas DeVita,"Cfo, Coo, Director of Mkp Capital Uk Ltd.",Steven Lando,"General Counsel, Chief Compliance Officer"
801-56588,  Entrust Partners Offshore LP     ,Funds Manager, 375 Park Avenue, New York, New York,10152, United States,  (212) 888-1040,https://www.entrustcapital.com,6/4/99,3/30/15,Delaware,801-56588,48,Gregg Hymowitz,Managing Member (Entrust Partners Offshore Lp),Jill Zelenko-Kuller,Chief Financial Officer (Entrust Partners Offshore Lp),Bruce Kahne,General Counsel / Chief Compliance Officer
801-73811,"  RR Advisors, LLC     ",Funds Manager, 3953 Maple Avenue, Dallas, Texas,75219, United States,  (214) 871-8680,#,3/30/12,3/30/15,Delaware,801-73811,10,Robert Raymond,Sole Member and President,John Rigas,Vice President,Thomas Morgan,Chief Compliance Officer
801-70627,  Jana Partners LLC     ,Funds Manager, 767 Fifth Avenue, New York, New York,10153, United States,  (212) 455-0900,https://www.janapartners.com,10/8/09,3/30/15,Delaware,801-70627,51,Barry Rosenstein,Managing Partner and Co-Portfolio Manager,Gary Claar,Non-Managing Member,Charles Penner,Chief Legal Officer and Partner
801-70653,"  Hunt Investment Management, LLC     ",Funds Manager, 980 North Michigan Avenue, Chicago, Illinois,60611, United States,  (312) 799-3929,https://www.huntcompanies.com,10/16/09,3/30/15,Delaware,801-70653,39,Douglas Tibbetts,Executive Vice President / Chairman of Board of Managers,Ryan Luxon,President / Chief Investment Officer / Member of Board of Managers,James Hunt,Chief Executive Officer
801-73897,"  Crestview Advisors, L.L.C.     ",Funds Manager, 667 Madison Avenue, New York, New York,  10065-8029 , United States,  (212) 906-0700,http://www.crestview.com,3/30/12,3/30/15,Delaware,801-73897,34,Barry Volpert,Co-Founder &amp; Chief Executive Officer,Thomas Murphy,Co-Founder &amp; Managing Director,Robert Delaney,Managing Director
801-74186,"  J.F. Lehman &amp; Company, Inc.     ",Funds Manager, 110 East 59th Street, New York, New York,10022, United States,  (212) 634-0100,http://www.jflpartners.com,3/30/12,3/30/15,Delaware,801-74186,26,John Lehman,Chief Executive Officer/Owner,Barbara Lehman,Owner,David Rattner,Chief Compliance Officer
801-73607,  Meadow Capital Management LLC     ,Funds Manager, 130 East 59th Street, New York, New York,10022, United States,  (212) 317-1214,http://www.meadowpartners.com,3/5/12,3/30/15,Delaware,801-73607,18,Jeffrey Kaplan,Managing Partner,Timothy Yantz,Partner,J. McDaniel,Partner
801-62782,  Credit suisse Hedging-Griffo Servios Internacionais S.A.     ,Funds Manager," Rua Leopoldo Couto De Magalhaes Jr., 700", Sao Paulo,4542000,, Brazil,5.51E+11,https://www.cshg.com/cshg/home.asp,3/1/04,3/30/15,Brazil,801-62782,9,Luis Stuhlberger,Director,Odilon Fernandes Neto,Director,Teodoro Lima,Director
801-73669,"  Coatue Management, L.L.C.     ",Funds Manager, 9 West 57th Street, New York, New York,10019, United States,  (212) 715-5100,http://www.coatue.com,3/30/12,3/30/15,Delaware,801-73669,89,Philippe Laffont,Portfolio Manager,Thomas Laffont,Senior Managing Director,Jason Schwartz,Chief Financial Officer
801-74136,"  Harvest Partners, LP     ",Funds Manager, 280 Park Avenue, New York, New York,10017, United States,  (212) 599-6300,https://www.harvestpartners.com,3/30/12,3/30/15,Delaware,801-74136,33,Stephen Eisenstein,Senior Managing Director/Limited Partner,Thomas Arenz,Senior Managing Director/Limited Partner,Ira Kleinman,Senior Managing Director/Limited Partner
801-80570,  Everest Capital PTE. Limited     ,Funds Manager, 61 Robinson Road, Singapore,68893,, Singapore,  (656) 238-8000,http://www.everestcapital.com,12/8/14,3/30/15,Singapore,801-80570,12,Sharon Leonida,"Executive Director, Ceo",Garret Mallal,Executive Director,Joshua Stone,Chief Compliance Officer
801-74650,"  Invesco Global Real Estate Asia Pacific, Inc.     ",Funds Manager, Two Peachtree Pointe, Atlanta, Georgia,30309, United States,  (404) 892-0896,http://www.invescorealestate.com,3/29/12,3/30/15,Delaware,801-74650,36,Shuk Lee,Secretary,Richard Phegley,Treasurer,Ryukichi Nakata,Director
801-45959,  Globeflex Capital LP     ,Funds Manager, 4365 Executive Dr. Ste 720, San Diego, California,92121, United States,  (858) 658-9060,http://www.globeflex.com,3/8/94,3/30/15,California,801-45959,22,Marina Marrelli,"Ceo, Co-Trustee of the Ansmar Family Trust",Robert Anslow,"Cio, Co-Trustee of the Ansmar Family Trust",Eileen Delasandro,Limited Partner
801-49090,"  Cardinal Capital Management, L.L.C.     ",Funds Manager, Four Greenwich Office Park, Greenwich, Connecticut,6831, United States,  (203) 863-8984,http://www.cardcap.com,4/27/95,3/30/15,Delaware,801-49090,16,Amy Minella,Member,Eugene Fox,Member,Thomas Spelman,Chief Financial Officer
801-65882,  Whitebox Advisors LLC     ,Funds Manager, 3033 Excelsior Boulevard, Minneapolis, Minnesota,55416, United States,  (612) 253-6001,http://www.whiteboxadvisors.com,1/31/06,3/30/15,Delaware,801-65882,110,Andrew Redleaf,Chief Executive Officer,Robert Vogel,Head of Corporate Credit and Relative Value,Mark Strefling,General Counsel/Chief Operating Officer
801-61436,"  Falmouth Investment Company, Inc.     ",Funds Manager, 20820 Chargin Boulevard, Shaker Heights, Ohio,44122, United States,  (216) 491-3990,http://www.paragonadvisors.net,9/13/02,3/30/15,Ohio,801-61436,0,Terence Sullivan,President &amp; Treasurer,Christine Jemison,Co-President &amp; Secretary,Susanne Powers,Chief Compliance Officer
801-68653,  Raylor Investments LLC     ,Funds Manager," 35 Mason Street, 4th Floor", Greenwich, Connecticut,6830, United States,  (203) 742-5450,http://www.raylorinvestments.com,1/4/08,3/30/15,Delaware,801-68653,6,Damon Hart,"Managing Partner, Cco",Gregory Rogers,Managing Partner,,
801-66532,"  Nicholas Investment Partners, L.P.     ",Funds Manager, 6451 El Sicomoro Street, Rancho Santa Fe, California,92067, United States,  (858) 759-4545,http://nicpartners.com,4/17/06,3/30/15,Delaware,801-66532,17,Catherine Nicholas,"Chief Investment Officer, Managing Partner",Arthur Nicholas,"Senior Partner,  Limited Partner",Laura Demarco,"Head of Sales &amp; Client Service, Limited Partner"
801-73241,  Silverpeak Real Estate Partners L.P.     ,Funds Manager, 1330 Avenue Of The Americas, New York, New York,10019, United States,  (212) 716-2000,http://www.silverpeakre.com/,3/5/12,3/30/15,Delaware,801-73241,41,Brett Bossung,Executive Committee Member,Rodolpho Amboss,Chief Compliance Officer &amp; Executive Committee Member,Mark Walsh,Executive Committee Member
801-69663,  Cornerstone Capital Management Holdings LLC     ,Funds Manager, 1180 Avenue Of The Americas, New York, New York,100368401, United States,  (212) 938-6500,http://www.cornerstonecapital.com,11/10/08,3/30/15,Delaware,801-69663,49,Drew Lawton,"Chairman of the Board of Managers, Elected Manager",Yie-Hsin Hung,Elected Manager,Andrew Wyatt,"Elected Manager, Chief Executive Officer"
801-29357,  Advent International Corp     ,Funds Manager, 75 State St, Boston, Massachusetts,2109, United States,  (617) 951-9400,http://www.adventinternational.com,5/28/87,3/30/15,Delaware,801-29357,129,Mark Hoffman,Director,Peter Brooke,Chairman,David Mussafer,Executive Officers&#39; Committee Member
801-15724,  Frontier Capital Management Co LLC     ,Funds Manager, 99 Summer Street, Boston, Massachusetts,2110, United States,  (617) 261-0777,http://www.frontiercap.com,1/14/81,3/30/15,Delaware,801-15724,38,MICHAEL CAVARRETTA,Chairman/Mgmt. Cmte. Member,Richad Binder,Senior Vp/Cfo,WILLIAM BALLOU,Chief Counsel and Chief Compliance Officer/Mgmt. Cmte. Member
801-55484,  RNC Capital Management LLC     ,Funds Manager," 11601 Wilshire Blvd., 25th Floor", Los Angeles, California,  90025-1770 , United States,  (310) 477-6543,http://rncgenter.com,4/1/98,3/30/15,California,801-55484,68,Daniel Genter,President/Ceo/Cio,Manuel Gutierrez,Sr. Vice President/Cfo/Chief Compliance Officer,John Marshall,Sr. Vice President/Director of Equity Portfolio Management
801-55009,  Seabridge Investment Advisors LLC     ,Funds Manager," 450 Springfield Ave, Suite 301", Summit, New Jersey,7901, United States,  (908) 273-5085,http://www.seabridge.com,11/3/97,3/30/15,New Jersey,801-55009,17,Garnett Keith,Chairman and Ceo,Susan Boyd,Chief Compliance Officer,David Descalzi,President
801-55903,  Argent Capital Management LLC     ,Funds Manager, 100 South Brentwood Blvd., Clayton, Missouri,63105, United States,  (314) 725-6000,http://www.argentcapital.com,10/6/98,3/30/15,Missouri,801-55903,20,Steven Finerty,"Chairman, Director, and Member",John Meara,"President, Director, and Member",William Moskoff,Director and Member
801-55201,"  Sit Fixed Income Advisors II, LLC     ",Funds Manager, 3300 Ids Center, Minneapolis, Minnesota,55402, United States,  (612) 332-3223,http://www.sitinvest.com,1/27/98,3/30/15,Delaware,801-55201,73,Michael Brilley,"President, Chief Fixed Income Officer &amp; Manager",Debra Sit,Senior Vice President,Paul Rasmussen,"Vice President, Secretary, Chief Compliance Officer"
801-48408,"  Ngam Advisors, L.P.     ",Funds Manager, 399 Boylston Street, Boston, Massachusetts,2116, United States,  (617) 449-2813,http://www.ngam.natixis.com,3/1/95,3/30/15,Delaware,801-48408,433,Coleen Dinneen,"Executive Vice President (Evp), General Counsel",Beatriz Pinasmith,"Executive Vice President (Evp), Treasurer &amp; Chief Financial Officer (Cfo)",Russell Kane,Senior Vice President (Svp) &amp; Deputy General Counsel
801-45601,"  Stadion Money Management, LLC     ",Funds Manager, 1061 Cliff Dawson Rd, Watkinsville, Georgia,30677, United States,  (706) 583-5144,https://www.stadionfunds.com,1/31/94,3/30/15,Delaware,801-45601,83,Judson Doherty,"President, Ceo",Timothy Chapman,Executive Chairman,Michael Isaac,Chief Compliance Officer
801-61905,  Rice Hall James &amp; Associates LLC     ,Funds Manager, 600 West Broadway Suite 1000, San Diego, California,  92101-3383 , United States,  (619) 239-9005,http://www.rhjfunds.com,2/13/03,3/30/15,Delaware,801-61905,25,Thomas McDowell,"Managing Member, Chief Executive Officer",Carl Obeck,"Member, Chief Financial Officer",Thuong-Thao Buu-Hoan,"Managing Member, Chief Operating Officer, President"
801-63507,"  TSP Capital Management Group, LLC     ",Funds Manager, 382 Springfield Avenue, Summit, New Jersey,7901, United States,  (908) 273-2105,http://www.tspcapitalmgt.com,9/10/04,3/30/15,Delaware,801-63507,5,Thomas Paluck,President and Senior Portfolio Manager,Barbara Klepper,Chief Compliance Officer,,
801-64257,  Sterling Capital Management LLC     ,Funds Manager, Two Morrocroft Centre, Charlotte, North Carolina,28211, United States,  (704) 372-8670,http://www.sterlingprivateclient.com,6/2/05,3/30/15,North Carolina,801-64257,134,Alexander McAlister,"Managing Director, President",Eduardo Brea,Senior Managing Director,Mark Montgomery,Senior Managing Director
801-65003,"  Santa Barbara Asset Management, LLC     ",Funds Manager, 2049 Century Park East, Los Angeles, California,90067, United States,  (310) 552-5100,http://www.sbasset.com,12/9/05,3/30/15,Delaware,801-65003,13,Avi Mizrachi,Chief Compliance Officer,John Gomez,President,James Boothe,"Chief Investment Officer, Portfolio Manager"
801-71074,  Lugano Financial Advisors s.A.     ,Funds Manager, Via Cantonale 2, Lugano - Ticino,6900,, Switzerland,  091 921 37 52,https://www.lfa.ch,2/3/10,3/30/15,Switzerland,801-71074,8,Francesco Bernasconi,Chief Executive Officer / Chief Financial Officer,Luca Bosia,Relationship Manager,Siro Spellini,Executive Officer
801-74326,"  Equity Resource Investments, LLC     ",Funds Manager, 1280 Massachusetts Ave, Cambridge, Massachusetts,2138, United States,  (617) 876-4800,http://www.equityresources.com,3/30/12,3/30/15,Massachusetts,801-74326,16,Eggert Dagbjartsson,Managing Member,Victor Paci,Managing Member,James Brooks,Member
801-71803,  Montrusco Bolton Investments Inc.     ,Funds Manager, 1501 Mcgill College Avenue, Montreal, Quebec,  H3A 3M8 , Canada,  (514) 842-6464,http://www.montruscobolton.com,9/13/10,3/30/15,Canada,801-71803,28,Jean-Claude Ayotte,"Chief Compliance Officer, Chief Financial Officer",Christian Godin,Senior Vice President,Ismael Chiadmi,Senior Vice President
801-21477,  Monetta Financial Services Inc     ,Funds Manager," 1776-A South Naperville Road, Suite 100", Wheaton, Illinois,  60189-5831 , United States,  (630) 462-9800,http://www.younginvestorfund.com,6/28/84,3/30/15,Delaware,801-21477,3,Robert Bacarella,Chairman/President &amp; Director,Anthony Pontarelli,Passive Investor,Virgil Pontarelli,Passive Investor
801-80492,"  CLA Asset Management, LLC     ",Funds Manager, 1980 Festival Plaza Dr., Las Vegas, Nevada,89135, United States,  (702) 749-5775,#,10/27/14,3/30/15,Nevada,801-80492,2,Clay Archey,Cco,,,,
801-73810,"  Water Street Capital, Inc.     ",Funds Manager, 4306 Pablo Oaks Court, Jacksonville, Florida,32224, United States,  (904) 355-5959,http://www.wscapital.com,3/30/12,3/30/15,Florida,801-73810,26,John Adams,Coo,Gilchrist Berg,President,Edythe Best,Cco
801-61598,"  Clover Partners, L.P.     ",Funds Manager, 100 Crescent Court, Dallas, Texas,75201, United States,  (214) 273-5200,#,12/2/02,3/30/15,Texas,801-61598,4,Michael Mewhinney,Limited Partner,Samuel Moore,Limited Partner / Chief Compliance Officer,John Guerry,Limited Partner
801-78221,  Leucadia Asset Management LLC     ,Funds Manager, 520 Madison Avenue, New York, New York,10022, United States,  (212) 460-1900,#,6/21/13,3/30/15,Delaware,801-78221,11,Travis Taylor,Managing Director/Co-Head of the Topwater Division of Lam,Bryan Borgia,Managing Director/Co-Head of the Topwater Division of Lam,Susan Rubin,Chief Compliance Officer
801-73687,  Oceanic Investment Management Limited     ,Funds Manager, St. George&#39;S Court, Douglas,  1M1 1EE ,, Isle Of Man,  01624 663616,http://www.tuftonoceanic.com,3/23/12,3/30/15,Isle Of Man,801-73687,10,Alf Brahde,Director,Anthony Haynes,Director and Chief Compliance Officer,Erik Lind,Director
801-79015,  Shanghai Fosun Chuangfu Equity Investment Management Company     ,Funds Manager, 27th Floor, Shanghai,200010,, China,8.62E+11,http://www.fosuncapital.com,2/6/14,3/30/15,China,801-79015,47,Xinjun Liang,Director,Qunbin Wang,Director,Guoqi Ding,Director
801-74200,"  APG Asset Management US, Inc     ",Funds Manager, 666 Third Ave, New York, New York,10017, United States,  (917) 368-3500,#,3/30/12,3/30/15,Delaware,801-74200,118,Paul Spijkers,Chief Executive Officer,Leo Palmen,General Counsel,Ferdinand Amkreutz,Chief Financial &amp; Risk Officer
801-71946,  Truebridge Capital Partners LLC     ,Funds Manager, 1350 Environ Way, Chapel Hill, North Carolina,27517, United States,  (919) 442-5201,http://www.truebridgecapital.com,11/16/10,3/30/15,Delaware,801-71946,11,Edwin Powell,Chief Compliance Officer/Elected Manager,Edwin Poston,Managing Member,Mel Williams,Managing Member
801-44099,  EII Realty Securities Inc     ,Funds Manager, 640 Fifth Avenue 8th Floor, New York, New York,10019, United States,  (212) 735-9500,http://www.eiicm.com,6/7/93,3/30/15,Delaware,801-44099,44,Christian Lange,Chief Executive Officer &amp; Chairman,Michael Meagher,Vice President &amp; Chief Compliance Officer,Robert Lange,President &amp; Chief Operating Officer
801-60494,  Northwater Capital Management Inc.     ,Funds Manager," 161 Bay Street, Suite 4000", Toronto, Ontario,  M5J 2S1 , Canada,  (416) 360-5435,http://www.northwatercapital.com,8/20/01,3/30/15,"Ontario, Canada",801-60494,21,David Patterson,"Chair, Chief Executive Officer and Director of Applicant and 100% Owner of Patterson Equities Inc.",Daniel Mills,"Managing Director, Chief Investment Officer and Chief Compliance Officer and Director of Applicant",Jonathan Piurko,Managing Director and Chief Legal Officer
801-21340,  Van ECK Associates Corporation     ,Funds Manager, 335 Madison Avenue, New York, New York,10017, United States,  (212) 293-2000,http://www.vaneck.com,5/17/84,3/30/15,Delaware,801-21340,183,Jan van Eck,"Chairman, President, Director and Principal",Bruce Smith,"Senior Vice President,  Chief Financial Officer, Treasurer, Controller and Director",Jonathan Simon,"Vice President, General Counsel and Secretary"
801-65336,  Pine River Capital Management L.P.     ,Funds Manager, 601 Carlson Parkway, Minnetonka, Minnesota,55305, United States,  (612) 238-3300,http://www.pinerivercapital.com,1/19/06,3/30/15,Delaware,801-65336,501,Brian Taylor,Chief Executive Officer,Jeff Stolt,Chief Financial Officer,Nikhil Mankodi,Co-Head of Asian Trading
801-69179,"  Zeke Capital Advisors, LLC     ",Funds Manager, 1235 Westlakes Drive, Berwyn, Pennsylvania,19312, United States,  (610) 572-4529,http://www.zekecapital.com,5/21/08,3/30/15,Delaware,801-69179,18,Edward Antoian,"Managing Member, Chief Investment Officer",Paul Polries,Director of Research,Christopher Fagley,Chief Operating Officer/Chief Compliance Officer
801-74248,"  KDI Capital Partners, LLC     ",Funds Manager," 4101 Lake Boone Trail, Ste 218", Raleigh, North Carolina,27607, United States,  (919) 573-4124,http://www.kdicapitalpartners.com,3/26/12,3/30/15,North Carolina,801-74248,8,Sheldon Fox,"Managing Member, Chief Operating Officer",Beth Dalton,Chief Compliance Officer,John Day,"Managing Member, Chief Investment Officer"
801-66670,"  Bluepointe Capital Management, LLC     ",Funds Manager, 400 S. El Camino Real, San Mateo, California,94402, United States,  (650) 293-4545,http://www.bluepointecapital.com,5/1/06,3/30/15,California,801-66670,8,Sandeep Sardana,Managing Member,Laura Thomas,Chief Operating Officer,Prashant Kalidindi,Principal
801-33016,"  Lee Financial Group Hawaii, Inc.     ",Funds Manager, 3113 Olu Street, Honolulu, Hawaii,  96816-1425 , United States,  (808) 988-8088,http://www.leehawaii.com,10/6/88,3/30/15,Hawaii,801-33016,12,Terry Lee,"Director, President and Ceo",Charlotte Meyer,"Director, Vice President and Asst. Treasurer",Lugene Lee,"Director, Vice President and Secretary"
801-25943,"  Columbia Management Investment Advisers, LLC     ",Funds Manager, 225 Franklin Street, Boston, Massachusetts,2110, United States,  (800) 225-2365,https://www.ameriprise.com,12/20/85,3/30/15,Minnesota,801-25943,1130,William Truscott,Chairman of the Board and President,Brian McGrane,"Member, Board of Governors, Executive Vice President and Chief Financial Officer",Scott Plummer,"Senior Vice President, Head of Global Asset Management Legal and Assistant Secretary"
801-60898,"  Steinberg Asset Management, LLC     ",Funds Manager, 12 East 49th Street, New York, New York,10017, United States,  (212) 980-0080,http://www.samny.com,1/1/02,3/30/15,Delaware,801-60898,28,Michael Steinberg,Managing Director,Steven Feld,Managing Director/Chief Compliance Officer/Chief Financial Officer,Justin Steinberg,Managing Director
801-60449,  PFM Asset Management LLC     ,Funds Manager, One Keystone Plaza, Harrisburg, Pennsylvania,  17101-2044 , United States,  (717) 231-6200,http://www.pfm.com,8/3/01,3/30/15,Delaware,801-60449,198,Martin Margolis,President/Manager,Debra Goodnight,Secretary/Asst. Treasurer,F White,Chairman
801-69561,"  RWWM, Inc.     ",Funds Manager, 4970 Rocklin Road, Rocklin, California,95677, United States,  (888) 552-1524,http://www.rosemanwagner.com,9/16/08,3/30/15,California,801-69561,2,Scott Roseman,Chairman &amp; Senior Portfolio Manager,Aaron Wagner,President &amp; Chief Compliance Officer,,
801-70164,  Montebello Partners LLC     ,Funds Manager, 75 Montebello Road, Suffern, New York,10901, United States,  (845) 368-2900,http://www.thebetafund.com,5/20/09,3/30/15,Delaware,801-70164,5,Oliver Pursche,Member,Gary Goldberg,Member,Richard Kersting,National Sales Manager
801-78447,"  Pulteney Street Capital Management, LLC     ",Funds Manager, 1345 Avenue Of The Americas, New York, New York,10105, United States,  (646) 840-4987,http://www.pulteneystreetcap.com,8/15/13,3/30/15,New York,801-78447,5,Trevor Welch,"Partner of Llc &amp; Reliant Gp, Managing Director, Pm, Cco",Michael Loughton,"Partner of Llc &amp; Reliant Gp, Managing Director, Pm",Sean McCooey,"Partner of Llc &amp; Reliant Gp, Managing Director, Pm"
801-76092,  Prophet Equity Management LLC     ,Funds Manager, 1460 Main Street, Southlake, Texas,76092, United States,  (817) 898-1500,http://www.prophetequity.com,4/24/12,3/30/15,Delaware,801-76092,14,Ross Gatlin,"Manager, Chief Executive Officer and Member",George Stelling,Member,Stephanie Fine,Chief Compliance Officer
801-68602,"  Neon Liberty Capital Management, LLC     ",Funds Manager, 600 Third Avenue, New York, New York,10016, United States,  (212) 983-1518,http://www.neonliberty.com/,1/2/08,3/30/15,Delaware,801-68602,17,Alejandro Baez-Sacasa,Manager,Satyen Mehta,Manager,Joseph Shiffman,Chief Compliance Officer
801-68323,"  Newport Capital Group, LLC     ",Funds Manager," 12 Broad Street, 5th Floor", Red Bank, New Jersey,7701, United States,  (732) 741-8400,http://www.newportcapitalgroup.com,9/18/07,3/30/15,New Jersey,801-68323,21,Domenic Dipiero,Managing Member,Michelle Bennett,Chief Compliance Officer/ Executive Vice President,,
801-45326,  Paragon Capital Management Inc     ,Funds Manager, 3651 North 100 East, Provo, Utah,  84604-4557 , United States,  (801) 375-2500,http://www.paragonwealth.com/,12/8/93,3/30/15,Utah,801-45326,4,David Young,President/Owner,Nathan White,Chief Compliance Officer/Chief Investment Officer,,
801-64775,"  L.D. Lowe Wealth Advisory, Inc.     ",Funds Manager, 8330 Lbj Freeway, Dallas, Texas,75243, United States,  (972) 335-2523,http://www.ldloweplan.com,10/7/05,3/30/15,Texas,801-64775,10,Lloyd Lowe,President,Sharon Goldberg,Chief Compliance Officer,,
801-67503,  True Capital Management LLC     ,Funds Manager, 101 Montgomery Street, San Francisco, California,94104, United States,  (415) 538-3600,http://www.truecapitalmgmt.com,1/24/07,3/30/15,California,801-67503,15,Heather Goodman,Chief Operating Officer / Chief Compliance Officer,Douglas Raetz,Chief Executive Officer,Jacob Bond,Managing Director
801-72115,"  Sands Capital Ventures, LLC     ",Funds Manager, 1101 Wilson Boulevard, Arlington, Virginia,22209, United States,  (703) 562-4000,#,5/20/11,3/30/15,Delaware,801-72115,13,MICHAEL RUBIN,Managing Partner/Chief Executive Officer,JONATHAN GOODMAN,"General Counsel, Chief Compliance Officer and Secretary",ERIN SOULE,"Director of Finance &amp; Operations, Treasurer"
801-67952,"  Summit Rock Advisors, LLC     ",Funds Manager, 9 West 57th Street, New York, New York,10019, United States,  (212) 993-7150,http://summit-rock.com/,5/29/07,3/30/15,Delaware,801-67952,45,DAVID DECHMAN,Chief Executive Officer and Member,Anne Donohue,Chief Investment Officer and Member,William Hedden,Chief Operating Officer
801-33939,  IMS Capital Management     ,Funds Manager, 8995 SE Otty Road, Portland, Oregon,97086, United States,  (503) 788-4200,http://www.imsfunds.com/,3/23/89,3/30/15,Oregon,801-33939,11,Carl Marker,Chief Investment Officer/Chairman of the Board/Director/Secretary,Douglas Kintzinger,"Ceo, President and Chief Compliance Officer",,
